"exhibit","manuscript_label","output","producer","producer_line","verification"
"Tableau concepts CEQ","tab:income-complete","07_reports/tables/22/22_01_income_concepts.xlsx","05_scripts_R/22_income_concepts.R","132","contrôle métrique"
"Tableau validation macro","tab:macro-validation","07_reports/tables/25/CEQ_CIV_2021_master.xlsx","05_scripts_R/25_ceq_report_tables.R","204","feuille validation_macro"
"Tableau comparaison Akim","tab:akim","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","1903","comparaison documentaire"
"Tableau réforme finale","tab:reforme","07_reports/tables/15/15_05_budget_neutral_recycling.xlsx","05_scripts_R/15_reform_vat_simulation.R","305","contrôle métrique"
"Tableau barème IGR","tab:bareme-igr","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","2168","contrôle CGI"
"Tableau concordance TRE","tab:mapping-52-48","07_reports/tables/13/13_05_wb52_to_tre48_bridge_current.xlsx","05_scripts_R/13b_leontief_local_io.R","95","unicité de concordance"
"Tableau matrice S3","tab:s3-matrix","07_reports/tables/06/06_03_vat_informality_parameters.xlsx","05_scripts_R/06_01_sensitivity_taxation.R","148","matrice exacte"
"Tableau accès réplication","tab:acces-replication","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","2433","compilation LaTeX"
"Tableau inventaire pipeline","tab:inventaire-pipeline","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","2514","comparaison 00_master.R"
"Figure cascade CEQ","fig:ceq-cascade","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","678","TikZ compilé"
"Figure chaîne TVA","fig:vat-chain","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","856","TikZ compilé"
"Figure scénarios TVA","fig:vat-scenarios","07_reports/figures/fig1_eff_vat_three_scenarios.png","05_scripts_R/08_figures.R","70","présence"
"Figure pauvreté IO","fig:io","07_reports/figures/fig_poverty_io_impact.png","05_scripts_R/14_leontief_poverty.R","261","présence"
"Figure accises et douane","fig:other-indirect","07_reports/figures/fig17_indirect_other_decile.png","05_scripts_R/17_indirect_other.R","21","présence"
"Figure prélèvements directs","fig:direct","07_reports/figures/fig16_direct_burden_decile.png","05_scripts_R/16_direct_taxes.R","45","présence"
"Figure transferts","fig:transfers","07_reports/figures/fig18_transfers_decile.png","05_scripts_R/18_transfers.R","22","présence"
"Figure réductions de prix","fig:subsidies","07_reports/figures/fig19_subsidies_decile.png","05_scripts_R/19_subsidies.R","537","présence"
"Figure éducation","fig:education-inkind","07_reports/figures/fig20_education_decile.png","05_scripts_R/20_inkind_education.R","200","présence"
"Figure santé","fig:health-inkind","07_reports/figures/fig21_health_decile.png","05_scripts_R/21_inkind_health.R","241","présence"
"Figure concepts CEQ","fig:income-complete","07_reports/figures/fig22_income_concepts.png","05_scripts_R/22_income_concepts.R","155","présence"
"Figure Shapley","fig:shapley","07_reports/figures/fig23_shapley.png","05_scripts_R/23_marginal_contribution.R","152","présence"
"Figure appauvrissement fiscal","fig:fiscal-impoverishment","07_reports/figures/fig24_fiscal_impoverishment.png","05_scripts_R/24_fiscal_impoverishment.R","121","présence"
"Figure réforme TVA","fig:reform-recycling","07_reports/figures/fig_reform_fgt_impact.png","05_scripts_R/15_reform_vat_simulation.R","362","présence"
"Tableau inférence sur les concepts","tab:concepts-inference","07_reports/tables/22/22_06_concepts_inference.xlsx","05_scripts_R/22_income_concepts.R","221","bootstrap Rao-Wu 500 réplications"
"Tableau Shapley pauvreté","tab:shapley-pauvrete","07_reports/tables/23/23_07_shapley_poverty_p0.xlsx;07_reports/tables/23/23_09_shapley_poverty_inference.xlsx","05_scripts_R/23_marginal_contribution.R","344","réconciliation somme égale variation totale"
"Figure Shapley pauvreté","fig:shapley-poverty","07_reports/figures/fig23b_shapley_poverty.png","05_scripts_R/23_marginal_contribution.R","384","présence"
"Tableau ancrage de l'informalité","tab:ancrage-offre","07_reports/tables/06/06_04_informality_anchor_supply.xlsx;07_reports/tables/06/06_05_unit_value_gradient.xlsx","05_scripts_R/utils/informality_anchor.R","526","concordance publiée et diagnostics de couverture"
